WELL,DEPTH,PERM_CORE,PORE_CORE
","""","""","""""
BN-015,1198.94,0.8,0.13
BN-015,1199.6,0.06,0.06
BN-015,1199.85,259,0.2
BN-015,1200.19,216,0.2
BN-015,1200.46,661,0.23
BN-015,1201.55,897,0.25
BN-015,1201.97,1257,0.27
BN-015,1202.12,704,0.27
BN-015,1202.39,903,0.24
BN-015,1207.87,0.01,0.01
BN-015,1208.25,2.6,0.13
BN-015,1208.7,1,0.17
BN-015,1208.95,0.71,0.16
BN-015,1209.1,0.29,0.14
BN-015,1209.32,0.13,0.11
BN-017,1165.35,25,0.19
BN-017,1165.95,172,0.22
BN-017,1166.25,123,0.22
BN-017,1166.55,204,0.22
BN-017,1166.85,241,0.23
BN-017,1167.25,20,0.19
BN-017,1167.55,265,0.22
BN-017,1167.85,277,0.22
BN-017,1168.05,116,0.21
BN-017,1168.45,493,0.21
BN-017,1168.65,75,0.19
BN-017,1168.85,128,0.24
BN-017,1169.15,327,0.24
BN-017,1169.75,492,0.26
BN-017,1170.15,354,0.25
BN-017,1173.35,0.53,0.1
BN-017,1173.8,0.44,0.1
BN-017,1174.55,0.48,0.12
BN-108,1181.08,140.83,0.17
BN-108,1182.25,244.31,0.19
BN-108,1182.6,485.88,0.2
BN-108,1182.91,698.44,0.21
BN-108,1183.13,903.8,0.21
BN-108,1183.48,845.75,0.22
BN-108,1183.86,436.59,0.2
BN-108,1184.05,766.24,0.2
BN-108,1184.44,474.42,0.2
BN-108,1184.72,805.34,0.21
BN-108,1184.93,1403.96,0.21
BN-108,1185.1,535.87,0.2
BN-108,1185.39,50.07,0.15
BN-108,1185.65,117.8,0.17
BN-108,1185.9,83.04,0.16
BN-108,1186.15,1678.69,0.22
BN-108,1186.27,941.2,0.21
BN-108,1186.55,633.39,0.2
BN-108,1186.9,739.14,0.19
BN-108,1187.11,459.51,0.19
BN-108,1187.35,1077.49,0.2
BN-108,1187.65,1545.98,0.21
BN-108,1187.84,539.93,0.19
BN-108,1188.13,1705.96,0.22
BN-108,1188.31,1327.16,0.21
BN-108,1188.85,53.35,0.18
BN-108,1189.05,156.9,0.19
GNK-079,246,257,0.33
GNK-079,590,23,0.25
GNK-079,607,12,0.18
GNK-079,730,19,0.24
GNK-079,1390,32,0.25
GNK-079,1514,-999.25,-999.25
GNK-079,1528,-999.25,0.22
GNK-079,1557,-999.25,-999.25
GNK-079,1563.5,1.1,0.18
GNK-079,1621,62,0.27
GNK-079,1623,1.43,0.24
GNK-079,1652,5.3,0.21
GNK-079,1656,3.62,0.25
GNK-079,1676,96,0.28
GNK-079,1703.5,72,0.24
GNK-079,1709,10.61,0.2
GNK-079,1719,-999.25,-999.25
GNK-079,1739.5,0.02,0.14
GNK-079,1819.5,46,0.27
GNK-079,1859,24,0.26
GNK-079,1901,185,0.3
GNK-079,1957,63,0.27
GNK-079,2057,117,0.24
GNK-079,2136.5,-999.25,0.25
GNK-079,2182,156,0.29
GNK-079,2204.5,132,0.25
GNK-079,2217,-999.25,-999.25
GNK-079,2235.5,43,0.23
GNK-079,2257,29,0.22
GNK-079,2280,175,0.22
GNK-079,2343,-999.25,0.26
GNK-079,2357,240,0.34
GNK-079,2405.5,196,0.31
GNK-079,2510.5,134,0.29
GNK-079,2549,158,0.31
GNK-079,2587.5,16,0.22
GNK-079,2664,0.01,0.12
GNK-079,2769.5,52,0.24
GNK-079,2824,167,0.29
GNK-079,2851,1.45,0.16
GNK-080,1617,0.1,0.13
GNK-080,1638,0.04,0.09
GNK-080,1900,-999.25,0.3
GNK-080,1934,-999.25,0.29
GNK-080,2102,-999.25,0.3
GNK-080,2159,-999.25,0.26
GNK-080,2372,-999.25,0.26
GNK-080,2472,-999.25,0.28
GNK-080,2505,-999.25,0.27
GNK-080,2513,-999.25,0.29
GNK-080,2578,-999.25,0.22
GNK-080,2584,-999.25,0.18
GNK-080,2597,-999.25,0.28
GNK-082,1422,11,0.18
GNK-082,1437.5,58,0.2
GNK-082,1481,44,0.22
GNK-082,1526.5,65,0.23
GNK-082,1783,54,0.24
GNK-082,1861,79,0.23
GNK-082,1892.5,68,0.23
GNK-082,1972.5,71,0.24
GNK-082,2013,-999.25,0.26
GNK-082,2072.5,-999.25,0.28
GNK-082,2128,81,0.23
GNK-082,2162,41,0.21
GNK-082,2174,21,0.19
GNK-082,2204,74,0.22
GNK-082,2232,32,0.2
GNK-082,2257,-999.25,0.26
GNK-082,2283.5,-999.25,0.24
GNK-082,2301,-999.25,0.23
GNK-082,2384.5,56,0.24
GNK-082,2395,-999.25,0.24
GNK-082,2478,26,0.18
GNK-082,2496,39,0.21
GNK-082,2532,52,0.22
GNK-082,2724,0.52,0.15
GNK-082,2936,1.49,0.17
GNK-082,3163,-999.25,0.14
GNK-082,3216,-999.25,0.18
GNK-082,3347,0.46,0.14
GNK-082,3393,0.87,0.15
GNK-083,1773,82,0.22
GNK-083,1776,41,0.2
GNK-083,1885,85,0.25
GNK-083,1889,78,0.24
GNK-083,1911,0.08,0.12
GNK-083,1967,79,0.25
GNK-083,2033,76,0.2
GNK-083,2202,20,0.23
GNK-083,2217,17,0.2
GNK-083,2308,12,0.17
GNK-083,2381,-999.25,0.18
GNK-083,2403,11,0.22
GNK-083,2617,0.71,0.15
GNK-083,2628,0.48,0.15
GNK-083,2741,4.58,0.18
GNK-083,2746,7.1,0.16
GNK-083,2760,17,0.2
GNK-083,2767,6.87,0.18
GNK-083,2770,25,0.2
GNK-090,2235.52,-999.25,-999.25
GNK-090,2274,-999.25,-999.25
GNK-090,2274.3,-999.25,-999.25
GNK-090,2274.6,-999.25,-999.25
GNK-090,2275,-999.25,-999.25
GNK-090,2275.3,-999.25,-999.25
GNK-090,2275.72,-999.25,-999.25
GNK-090,2276,-999.25,-999.25
GNK-090,2276.53,2.27,0.03
GNK-090,2276.6,-999.25,-999.25
GNK-090,2277,-999.25,-999.25
GNK-090,2277.3,-999.25,-999.25
GNK-090,2277.6,-999.25,-999.25
GNK-090,2278,-999.25,-999.25
GNK-090,2278.14,-999.25,-999.25
GNK-090,2278.6,-999.25,-999.25
GNK-090,2279,-999.25,-999.25
GNK-090,2279.3,-999.25,-999.25
GNK-090,2279.66,126,0.15
GNK-090,2280,238,0.16
GNK-090,2280.42,10.6,0.12
GNK-090,2280.65,10.2,0.12
GNK-090,2281.02,11.5,0.12
GNK-090,2281.32,12.7,0.13
GNK-090,2281.67,0.64,0.09
GNK-090,2282.02,2.44,0.11
GNK-090,2282.3,0.465,0.08
GNK-090,2282.62,2.15,0.11
GNK-090,2282.9,1.35,0.1
GNK-090,2355,-999.25,-999.25
GNK-090,2355.6,-999.25,-999.25
GNK-090,2356,-999.25,-999.25
GNK-090,2356.6,-999.25,-999.25
GNK-090,2357,-999.25,-999.25
GNK-090,2357.3,-999.25,-999.25
GNK-090,2357.6,-999.25,-999.25
GNK-090,2358.52,-999.25,-999.25
GNK-090,2358.52,-999.25,-999.25
GNK-090,2358.6,-999.25,-999.25
GNK-090,2359,-999.25,-999.25
GNK-090,2359.3,-999.25,-999.25
GNK-090,2359.6,-999.25,-999.25
GNK-090,2360.21,0.743,0.03
GNK-090,2360.33,2.19,0.04
GNK-090,2360.9,-999.25,-999.25
GNK-090,2361,-999.25,-999.25
GNK-090,2361.34,0.542,0.03
GNK-090,2361.77,1.25,0.04
GNK-090,2362,-999.25,-999.25
GNK-090,2362.3,-999.25,-999.25
GNK-090,2362.6,-999.25,-999.25
GNK-090,2363,-999.25,-999.25
GNK-090,2363.3,-999.25,-999.25
GNK-090,2363.6,-999.25,-999.25
GNK-090,2364.14,-999.25,-999.25
GNK-81,2043,84,0.25
GNK-81,2071,96,0.25
GNK-81,2075,-999.25,0.24
GNK-81,2082,-999.25,0.2
GNK-81,2092,100,0.25
GNK-81,2108,-999.25,0.25
GNK-81,2127,-999.25,0.2
GNK-81,2167,-999.25,0.24
GNK-81,2175,-999.25,0.23
GNK-81,2182,-999.25,0.25
GNK-81,2188,-999.25,0.24
GNK-81,2215,-999.25,0.18
GNK-81,2232,-999.25,0.23
GNK-81,2251,-999.25,0.22
GNK-81,2257,-999.25,0.26
GNK-81,2265,-999.25,0.24
GNK-81,2285,-999.25,0.24
GNK-81,2295,-999.25,0.23
GNK-81,2302,-999.25,0.25
GNK-81,2368,-999.25,0.15
GNK-81,2420,-999.25,0.21
GNK-81,2466,-999.25,0.25
GNK-81,2482,-999.25,0.25
GNK-81,2492,-999.25,-999.25
KRG-014,1287.62,1.91,0.203
KRG-014,1288.49,0.719,0.2
KRG-014,1292.1,0.101,0.181
KRG-014,1295.1,0.116,0.178
KRG-014,1298.57,1.56,0.209
KRG-014,1298.87,1.12,0.204
KRG-014,1299.42,1.06,0.22
KRG-014,1300.69,0.332,0.195
KRG-014,1300.9,0.383,0.193
LBK-003,1481.5,-999.25,0.22
LBK-003,1482.5,-999.25,0.19
LBK-003,1483.5,-999.25,-999.25
LBK-003,1484.5,-999.25,-999.25
LBK-003,1484.5,-999.25,-999.25
LBK-003,1485.5,-999.25,0.22
LBK-003,1539,-999.25,0.27
LBK-003,1539.5,-999.25,0.14
LBK-004,1349,61.25,0.61
LBK-004,1349.06,28.95,0.28
LBK-004,1349.39,79.86,0.27
LBK-004,1350,114.56,0.38
LBK-004,1350.5,3.34,0.31
LBK-005,1380.5,-999.25,-999.25
LBK-005,1389.5,9,0.25
LBK-005,1406,0.01,0.27
LBK-005,1410,62,0.23
LBK-005,1418,3,0.26
LBK-005,1426,0.23,0.2
LBK-005,1432,0.34,0.23
LBK-005,1436,0.44,0.26
LBK-005,1450.5,0,0.18
LBK-005,1465.5,1.15,0.21
LBK-005,1478.5,0.01,0.18
LBK-005,1488.5,105,0.23
LBK-005,1492.5,0.17,0.2
LBK-005,1499,62,0.24
LBK-005,1522.5,62,0.29
LBK-005,1533.5,145,0.27
LBK-005,1552.5,9.4,0.19
LBK-005,1561.5,12,0.29
LBK-005,1573,60,0.28
LBK-005,1600,16,0.18
LBK-005,1602.5,200,0.24
LBK-005,1615.5,1.6,0.24
LBK-007,1551,22,0.23
LBK-007,1552,0.52,0.23
LBK-007,1575.9,1.75,0.26
LBK-007,1577.1,200,0.24
LBK-007,1605.8,0.1,0.13
LBK-007,1641,0.28,0.21
LBK-007,1910.9,-999.25,-999.25
LBK-016,1669.02,-999.25,0.1
LBK-016,1685.4,6819,0.22
LBK-016,1685.85,43.3,0.18
LBK-016,1686.1,2093,0.27
LBK-016,1686.5,2898,0.27
LBK-016,1686.8,3774,0.28
LBK-016,1687.1,5326,0.24
LBK-016,1687.7,9304,0.28
LBK-016,1687.9,10565,0.29
LBK-016,1688.1,11147,0.3
LBK-016,1688.4,3309,0.27
TMB-011,1386,1.14,0.21
TMB-011,1390,0.83,0.21
TMB-011,1401.5,-999.25,0.22
TMB-011,1426,15,0.23
TMB-011,1507.5,26,0.19
TMB-011,1512,67,0.27
TMB-011,1550,36,0.24
TMB-011,1612,0.24,0.18
TMB-011,1623.5,0.18,0.16
TMB-011,1636.5,3.62,0.22
TMB-011,1718.5,1.96,0.2
TMB-011,1835.5,28,0.27
TMB-011,1902.5,-999.25,0.25
TMB-011,1966,2.16,0.22
TMB-011,2002,47,0.26
TMB-011,2011.5,-999.25,0.25
TMB-011,2087,35,0.25

TMB-013,1552.35,2570,0.25
TMB-013,1552.65,1574,0.25
TMB-013,1552.9,1382,0.23
TMB-013,1553.2,2141,0.25
TMB-013,1553.57,1202,0.21
TMB-013,1553.8,2540,0.24
TMB-013,1554.1,1696,0.23
TMB-013,1554.35,3740,0.25
TMB-013,1554.8,2358,0.25
TMB-013,1555.02,1328,0.24
TMB-013,1555.4,1503,0.24
TMB-013,1555.7,765,0.23
TMB-013,1556.05,3006,0.24
TMB-013,1556.5,2238,0.24
TMB-013,1556.8,1171,0.24
TMB-013,1557.1,1078,0.23
TMB-013,1557.4,1250,0.23
TMB-013,1557.7,1202,0.23
TMB-013,1558.15,1983,0.24
TMB-013,1558.45,1661,0.24
TMB-013,1559.05,1103,0.23
TMB-013,1559.15,955,0.22
TMB-013,1559.5,1765,0.23
TMB-013,1559.7,3992,0.24
TMB-013,1559.9,4955,0.024
TMB-013,1560.1,5740,0.25
TMB-013,1560.4,7515,0.25
TMB-013,1561.02,288,0.16
TMB-013,1561.15,1372,0.22
TMB-013,-999.25,-999.25,-999.25
TMB-013,1562.8,-999.25,-999.25
TMB-013,1566.5,-999.25,-999.25
TMB-013,1567.02,-999.25,-999.25
TMB-013,1567.5,-999.25,-999.25
TMB-014,1420.12,2570,0.25
TMB-014,1420.5,1574,0.25
TMB-014,1420.95,1382,0.23
TMB-014,1421.1,2141,0.25
TMB-014,1421.62,1202,0.21
TMB-014,1421.92,2540,0.24
TMB-014,1422.07,1696,0.23
TMB-014,1422.4,3740,0.25
TMB-014,1427.5,2358,0.25
TMB-014,1427.9,1328,0.24
TMB-014,1428.1,1503,0.24
TMB-014,1428.4,765,0.23
TMB-014,1428.7,3006,0.24
